Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,MID_VA
18-September-2024,3312.70,3320.90,3251.70,3274.20,3286.508349218450000000,13115,1566,43102557.00,5110,38.96,69.20,-38.50,
17-September-2024,3339.85,3350.00,3302.20,3312.75,3320.027676569510000000,14272,2089,47383435.00,7521,52.70,47.80,-27.10,
16-September-2024,3350.55,3394.00,3330.45,3334.35,3350.891314062610000000,42517,5563,142469846.00,28580,67.22,63.55,-16.20,
13-September-2024,3367.00,3367.65,3321.10,3358.65,3325.441433252300000000,141915,2917,471930021.00,126188,88.92,46.55,-8.35,
12-September-2024,3366.45,3392.85,3340.00,3382.30,3370.575122640730000000,24054,3424,81075814.00,12078,50.21,52.85,15.85,
11-September-2024,3313.00,3382.00,3311.70,3366.15,3358.935002272650000000,85803,9776,288206700.00,41694,48.59,70.30,53.15,
10-September-2024,3281.70,3308.55,3270.35,3294.30,3294.465863879900000000,56553,7816,186311928.00,44524,78.73,38.20,12.60,
9-September-2024,3270.05,3313.95,3258.10,3281.45,3284.355285002770000000,110227,14939,362024630.00,61929,56.18,55.85,11.40,
6-September-2024,3235.00,3285.00,3226.15,3274.50,3267.425080271140000000,78484,6507,256440590.00,41899,53.39,58.85,39.50,
5-September-2024,3232.20,3255.00,3215.70,3237.80,3237.958532341070000000,54018,6957,174908044.00,32736,60.60,39.30,5.60,
4-September-2024,3150.05,3250.65,3150.05,3231.90,3223.513374281750000000,75705,7312,244036080.00,32173,42.50,100.60,81.85,
3-September-2024,3152.45,3172.60,3146.40,3153.80,3158.798396948840000000,33561,4409,106012433.00,23427,69.80,26.20,1.35,
2-September-2024,3145.20,3182.00,3139.10,3151.50,3156.505716911370000000,46791,5829,147696059.00,27458,58.68,42.90,6.30,
30-August-2024,3129.80,3166.00,3110.85,3126.80,3139.490016418620000000,56643,8151,177830133.00,23244,41.04,55.15,-3.00,
29-August-2024,3125.50,3143.00,3093.70,3116.05,3116.463782696180000000,12922,1862,40270945.00,4526,35.03,49.30,-9.45,
28-August-2024,3164.00,3164.95,3118.75,3125.00,3137.536892758940000000,13092,1937,41076633.00,5201,39.73,46.20,-39.00,
27-August-2024,3150.90,3201.90,3150.00,3163.20,3179.775823137110000000,19043,2189,60552471.00,9777,51.34,51.90,12.30,
26-August-2024,3159.95,3177.00,3142.25,3169.80,3164.644990649210000000,18715,2193,59226331.00,9529,50.92,34.75,9.85,
23-August-2024,3185.75,3198.60,3147.50,3153.55,3164.235689856050000000,26607,4962,84190819.00,8174,30.72,51.10,-32.20,
22-August-2024,3164.95,3198.80,3159.65,3184.90,3183.627067062660000000,27273,3164,86827061.00,10396,38.12,39.15,19.95,
21-August-2024,3081.35,3169.80,3081.35,3151.15,3141.776327603900000000,31184,4023,97973153.00,13952,44.74,88.45,69.80,
20-August-2024,3090.00,3105.00,3079.60,3101.65,3096.702458393170000000,47348,6701,146622668.00,30979,65.43,25.40,11.65,
19-August-2024,3050.05,3087.70,3040.80,3076.45,3068.244946641560000000,15930,1962,48877142.00,7420,46.58,46.90,26.40,
16-August-2024,3067.45,3067.45,3003.05,3047.90,3033.267637646920000000,33437,4893,101423370.00,6897,20.63,64.40,-19.55,
14-August-2024,3030.30,3031.90,2995.50,3022.95,3015.139317438060000000,8556,1266,25797532.00,4800,56.10,36.40,-7.35,
13-August-2024,3053.00,3053.00,3013.80,3022.30,3028.384236453200000000,16849,2201,51025246.00,5647,33.52,39.20,-30.70,
12-August-2024,3010.30,3083.00,3004.50,3051.45,3046.169729368530000000,29930,3415,91171860.00,11016,36.81,78.50,41.15,
9-August-2024,3057.90,3057.90,2966.65,3040.10,3009.744159469020000000,45501,5363,136946369.00,12762,28.05,91.25,-17.80,
8-August-2024,3089.95,3089.95,2990.30,3000.95,3024.986360856270000000,49050,5501,148375581.00,10619,21.65,99.65,-89.00,
7-August-2024,3105.00,3118.50,3060.50,3100.55,3084.705078740160000000,25400,2846,78351509.00,8941,35.20,58.00,-4.45,
